date,state,fips,cases,deaths,confirmed_cases,confirmed_deaths,probable_cases,probable_deaths,population,percent_cases
9/21/20,Alabama,1,145780,2439,131405,2292,14375,147,4887871,2.982484603
9/21/20,Alaska,2,7775,42,0,42,7775,0,737438,1.054325923
9/21/20,Arizona,4,214251,5482,,,,,7171646,2.987473169
9/21/20,Arkansas,5,76364,1197,74286,1048,2078,149,3013825,2.533790117
9/21/20,California,6,789717,15029,788394,15029,1323,0,39557045,1.996400388
9/21/20,Colorado,8,65432,2024,,,,,5695564,1.148823892
9/21/20,Connecticut,9,55527,4492,,,,,3572665,1.55421793
9/21/20,Delaware,10,19667,627,,,,,967171,2.033456338
9/21/20,District of Columbia,11,14978,621,14978,621,0,0,702455,2.132236229
9/21/20,Florida,12,685431,13316,0,13316,685431,0,21299325,3.218087897
9/21/20,Georgia,13,289975,6455,289975,6455,0,0,10519475,2.756553915
9/21/20,Hawaii,15,11534,119,,,,,1420491,0.811972762
9/21/20,Idaho,16,37768,443,34539,405,3229,38,1754208,2.1529944
9/21/20,Illinois,17,278748,8707,276550,8471,2198,236,12741080,2.187789418
9/21/20,Indiana,18,114251,3512,112027,3287,2224,225,6691878,1.707308472
9/21/20,Iowa,19,80733,1271,80733,1271,0,0,3156145,2.557962324
9/21/20,Kansas,20,54870,600,,,,,2911505,1.884592333
9/21/20,Kentucky,21,65668,1139,,,,,4468402,1.469608151
9/21/20,Louisiana,22,162501,5375,161462,5207,1039,168,4659978,3.487162386
9/21/20,Maine,23,5106,140,4586,140,520,0,1338404,0.381499159
9/21/20,Maryland,24,120994,3883,120873,3743,121,140,6042718,2.002310881
9/21/20,Massachusetts,25,127796,9317,125723,9107,2073,210,6902149,1.851539281
9/21/20,Michigan,26,129655,6982,117200,6665,12455,317,9995915,1.297079857
9/21/20,Minnesota,27,90994,2021,90942,1969,52,52,5611179,1.621655627
9/21/20,Mississippi,28,93556,2810,87160,2591,6396,219,2986530,3.132598702
9/21/20,Missouri,29,116032,1916,115838,1915,194,1,6126452,1.893951018
9/21/20,Montana,30,10469,160,10469,160,0,0,1062305,0.985498515
9/21/20,Nebraska,31,41083,460,41083,460,0,0,1929268,2.1294605
9/21/20,Nevada,32,76053,1531,76044,1531,9,0,3034392,2.506367009
9/21/20,New Hampshire,33,7947,438,7947,438,0,0,1356458,0.585864067
9/21/20,New Jersey,34,201945,16069,200154,14278,1791,1791,8908520,2.266874857
9/21/20,New Mexico,35,27579,849,27579,849,0,0,2095428,1.316151163
9/21/20,New York,36,455187,32691,450557,28061,4630,4630,19542209,2.329250496
9/21/20,North Carolina,37,194865,3277,194702,3277,163,0,10383620,1.876657659
9/21/20,North Dakota,38,18247,196,18244,193,3,3,760077,2.400677826
9/21/20,Ohio,39,145165,4623,,,,,11689442,1.24184713
9/21/20,Oklahoma,40,77908,948,0,948,77908,0,3943079,1.975816361
9/21/20,Oregon,41,31002,532,29998,310,1004,222,4190713,0.739778649
9/21/20,Pennsylvania,42,155650,8078,,,,,12807060,1.215345286
9/21/20,Puerto Rico,72,42476,609,20311,439,22165,170,3195153,1.329388608
9/21/20,Rhode Island,44,23932,1097,23932,1097,0,0,1057315,2.263469259
9/21/20,South Carolina,45,138124,3212,134884,3040,3240,172,5084127,2.71676927
9/21/20,South Dakota,46,18869,202,18865,,4,,882235,2.138772549
9/21/20,Tennessee,47,181725,2209,175557,848,6168,1361,6770010,2.684264868
9/21/20,Texas,48,723283,15166,693917,11286,29366,3880,28701845,2.519987827
9/21/20,Utah,49,64394,446,33938,294,30456,152,3161105,2.037072479
9/21/20,Vermont,50,1719,58,1719,58,0,0,626299,0.274469543
9/21/20,Virginia,51,141138,3021,,,,,8517685,1.656999525
9/21/20,Washington,53,86317,2131,83854,2059,2463,72,7535591,1.145457602
9/21/20,West Virginia,54,14171,312,13830,310,341,2,1805832,0.784735236
9/21/20,Wisconsin,55,108637,1253,102584,1245,6053,8,5813568,1.868680301
9/21/20,Wyoming,56,4871,49,4124,,747,,577737,0.843117197
